TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,108131,,SBILIFE,,2026-10-27,2026-10-27,2000.0,CE,SBILIFE26OCT2000CE,0.0,0.0,0.0,65.45,0.0,65.45,1837.59,38.13,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143440,,SBILIFE,,2026-08-25,2026-08-25,2160.0,CE,SBILIFE26AUG2160CE,0.25,0.25,0.15,0.2,0.2,0.3,1837.59,0.02,15000,-3000,28,22681968.75,8,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146430,,SBILIFE,,2026-09-29,2026-09-29,2040.0,PE,SBILIFE26SEP2040PE,0.0,0.0,0.0,263.8,0.0,263.8,1837.59,199.34,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107856,,SBILIFE,,2026-09-29,2026-09-29,1780.0,CE,SBILIFE26SEP1780CE,0.0,0.0,0.0,159.05,0.0,159.05,1837.59,110.66,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107810,,SBILIFE,,2026-09-29,2026-09-29,1740.0,CE,SBILIFE26SEP1740CE,0.0,0.0,0.0,188.85,0.0,188.85,1837.59,138.19,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107861,,SBILIFE,,2026-09-29,2026-09-29,1780.0,PE,SBILIFE26SEP1780PE,0.0,0.0,0.0,31.4,0.0,31.4,1837.59,37.44,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146293,,SBILIFE,,2026-09-29,2026-09-29,1560.0,PE,SBILIFE26SEP1560PE,0.0,0.0,0.0,15.6,0.0,15.6,1837.59,2.14,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146148,,SBILIFE,,2026-08-25,2026-08-25,1620.0,PE,SBILIFE26AUG1620PE,0.85,2.85,0.85,2.85,2.85,0.8,1837.59,0.15,3375,0,2,1216387.5,2,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143381,,SBILIFE,,2026-08-25,2026-08-25,1520.0,PE,SBILIFE26AUG1520PE,0.55,0.75,0.55,0.75,0.75,0.5,1837.59,0.0,22875,-4125,15,8553412.5,10,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108148,,SBILIFE,,2026-10-27,2026-10-27,2160.0,CE,SBILIFE26OCT2160CE,0.0,0.0,0.0,26.05,0.0,26.05,1837.59,11.94,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108083,,SBILIFE,,2026-10-27,2026-10-27,1840.0,CE,SBILIFE26OCT1840CE,0.0,0.0,0.0,139.8,0.0,139.8,1837.59,98.19,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108081,,SBILIFE,,2026-10-27,2026-10-27,1800.0,CE,SBILIFE26OCT1800CE,0.0,0.0,0.0,164.7,0.0,164.7,1837.59,120.1,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146408,,SBILIFE,,2026-09-29,2026-09-29,2000.0,CE,SBILIFE26SEP2000CE,0.0,0.0,0.0,27.25,0.0,27.25,1837.59,21.59,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146164,,SBILIFE,,2026-08-25,2026-08-25,1860.0,CE,SBILIFE26AUG1860CE,30.15,30.15,18.55,23.7,22.0,32.55,1837.59,23.7,208125,29250,1225,865090537.5,966,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107875,,SBILIFE,,2026-09-29,2026-09-29,2020.0,PE,SBILIFE26SEP2020PE,0.0,0.0,0.0,150.5,0.0,150.5,1837.59,182.63,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108144,,SBILIFE,,2026-10-27,2026-10-27,2080.0,CE,SBILIFE26OCT2080CE,0.0,0.0,0.0,42.15,0.0,42.15,1837.59,21.92,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146152,,SBILIFE,,2026-08-25,2026-08-25,1700.0,CE,SBILIFE26AUG1700CE,0.0,0.0,0.0,118.55,0.0,118.55,1837.59,143.68,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143388,,SBILIFE,,2026-08-25,2026-08-25,1680.0,CE,SBILIFE26AUG1680CE,0.0,0.0,0.0,248.3,0.0,248.3,1837.59,162.7,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107879,,SBILIFE,,2026-09-29,2026-09-29,2100.0,PE,SBILIFE26SEP2100PE,0.0,0.0,0.0,211.75,0.0,211.75,1837.59,252.07,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146307,,SBILIFE,,2026-09-29,2026-09-29,1720.0,PE,SBILIFE26SEP1720PE,0.0,0.0,0.0,58.25,0.0,58.25,1837.59,20.37,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143391,,SBILIFE,,2026-08-25,2026-08-25,1720.0,PE,SBILIFE26AUG1720PE,4.75,5.05,3.1,3.35,3.35,4.0,1837.59,3.35,11625,-7500,51,32980143.75,50,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146172,,SBILIFE,,2026-08-25,2026-08-25,1980.0,CE,SBILIFE26AUG1980CE,2.7,3.4,2.35,2.65,2.65,3.8,1837.59,2.65,83250,-1125,63,46839881.25,57,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108132,,SBILIFE,,2026-10-27,2026-10-27,2000.0,PE,SBILIFE26OCT2000PE,0.0,0.0,0.0,146.3,0.0,146.3,1837.59,173.01,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146355,,SBILIFE,,2026-09-29,2026-09-29,1920.0,PE,SBILIFE26SEP1920PE,0.0,0.0,0.0,170.0,0.0,170.0,1837.59,108.04,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107867,,SBILIFE,,2026-09-29,2026-09-29,1900.0,PE,SBILIFE26SEP1900PE,0.0,0.0,0.0,77.55,0.0,77.55,1837.59,95.33,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,58377,,SBILIFE,,2026-08-25,2026-08-25,,,SBILIFE26AUGFUT,1856.6,1860.5,1822.7,1839.7,1835.1,1855.2,1837.59,1839.7,5588625,12000,1948,1341027787.5,1788,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146349,,SBILIFE,,2026-09-29,2026-09-29,1880.0,PE,SBILIFE26SEP1880PE,0.0,0.0,0.0,142.65,0.0,142.65,1837.59,83.45,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146311,,SBILIFE,,2026-09-29,2026-09-29,1800.0,PE,SBILIFE26SEP1800PE,37.0,37.0,37.0,37.0,37.0,29.0,1837.59,44.84,750,375,1,688875.0,1,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,107809,,SBILIFE,,2026-09-29,2026-09-29,1700.0,PE,SBILIFE26SEP1700PE,0.0,0.0,0.0,14.35,0.0,14.35,1837.59,16.21,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143407,,SBILIFE,,2026-08-25,2026-08-25,2040.0,PE,SBILIFE26AUG2040PE,0.0,0.0,0.0,146.45,146.45,146.45,1837.59,198.46,7125,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146175,,SBILIFE,,2026-08-25,2026-08-25,1980.0,PE,SBILIFE26AUG1980PE,0.0,0.0,0.0,80.65,81.4,80.65,1837.59,141.11,5625,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146169,,SBILIFE,,2026-08-25,2026-08-25,1900.0,PE,SBILIFE26AUG1900PE,62.15,84.55,62.15,69.0,69.0,60.0,1837.59,69.0,82875,-1125,44,32564812.5,44,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146406,,SBILIFE,,2026-09-29,2026-09-29,1960.0,CE,SBILIFE26SEP1960CE,0.0,0.0,0.0,35.35,0.0,35.35,1837.59,30.63,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146312,,SBILIFE,,2026-09-29,2026-09-29,1840.0,CE,SBILIFE26SEP1840CE,0.0,0.0,0.0,71.55,0.0,71.55,1837.59,76.08,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143404,,SBILIFE,,2026-08-25,2026-08-25,2000.0,CE,SBILIFE26AUG2000CE,2.85,2.85,1.8,2.3,2.25,2.85,1837.59,2.3,239625,-2625,276,207219337.5,178,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143398,,SBILIFE,,2026-08-25,2026-08-25,1880.0,CE,SBILIFE26AUG1880CE,21.0,21.0,13.35,16.85,15.4,24.25,1837.59,16.85,168750,17250,601,427342950.0,529,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,68781,,SBILIFE,,2026-09-29,2026-09-29,,,SBILIFE26SEPFUT,1861.4,1861.4,1833.3,1851.3,1842.8,1867.2,1837.59,1851.3,632625,51000,238,164542237.5,232,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108124,,SBILIFE,,2026-10-27,2026-10-27,1960.0,PE,SBILIFE26OCT1960PE,0.0,0.0,0.0,121.85,0.0,121.85,1837.59,144.75,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108078,,SBILIFE,,2026-10-27,2026-10-27,1720.0,PE,SBILIFE26OCT1720PE,0.0,0.0,0.0,26.65,0.0,26.65,1837.59,31.22,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,146300,,SBILIFE,,2026-09-29,2026-09-29,1680.0,PE,SBILIFE26SEP1680PE,0.0,0.0,0.0,43.85,0.0,43.85,1837.59,12.73,0,0,0,0.0,0,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143401,,SBILIFE,,2026-08-25,2026-08-25,1920.0,PE,SBILIFE26AUG1920PE,87.7,87.7,87.7,87.7,87.7,68.0,1837.59,88.91,36000,0,1,752887.5,1,F1,375,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,143399,,SBILIFE,,2026-08-25,2026-08-25,1880.0,PE,SBILIFE26AUG1880PE,65.0,68.75,53.5,56.35,60.6,44.9,1837.59,56.35,71250,-375,41,29839631.25,40,F1,375,,,,,
