TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,57687,,BEL,,2026-10-27,2026-10-27,420.0,PE,BEL26OCT420PE,0.0,0.0,0.0,41.65,0.0,41.65,405.84,29.79,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57672,,BEL,,2026-10-27,2026-10-27,390.0,CE,BEL26OCT390CE,0.0,0.0,0.0,29.05,0.0,29.05,405.84,36.52,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57690,,BEL,,2026-10-27,2026-10-27,440.0,CE,BEL26OCT440CE,7.4,7.4,7.4,7.4,7.4,6.0,405.84,14.31,2850,0,1,637545.0,1,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90511,,BEL,,2026-09-29,2026-09-29,330.0,PE,BEL26SEP330PE,0.0,0.0,0.0,2.55,0.0,2.55,405.84,0.75,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57606,,BEL,,2026-09-29,2026-09-29,375.0,PE,BEL26SEP375PE,2.85,3.25,2.85,2.9,2.9,2.9,405.84,2.9,148200,42750,59,31787688.75,45,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57670,,BEL,,2026-10-27,2026-10-27,380.0,CE,BEL26OCT380CE,0.0,0.0,0.0,34.25,0.0,34.25,405.84,42.8,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90199,,BEL,,2026-08-25,2026-08-25,375.0,CE,BEL26AUG375CE,0.0,0.0,0.0,30.05,30.05,30.05,405.84,33.08,511575,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90277,,BEL,,2026-08-25,2026-08-25,465.0,CE,BEL26AUG465CE,0.0,0.0,0.0,0.3,0.3,0.3,405.84,0.23,31350,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90522,,BEL,,2026-09-29,2026-09-29,390.0,CE,BEL26SEP390CE,23.15,23.25,22.05,23.1,23.0,22.4,405.84,23.1,68400,0,12,7059877.5,12,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57609,,BEL,,2026-09-29,2026-09-29,395.0,CE,BEL26SEP395CE,18.65,19.35,18.65,19.35,19.35,18.65,405.84,27.67,17100,-8550,10,5897647.5,6,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90509,,BEL,,2026-09-29,2026-09-29,320.0,PE,BEL26SEP320PE,0.0,0.0,0.0,1.7,0.0,1.7,405.84,0.39,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75882,,BEL,,2026-08-25,2026-08-25,460.0,PE,BEL26AUG460PE,0.0,0.0,0.0,55.5,55.5,55.5,405.84,53.45,404700,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90200,,BEL,,2026-08-25,2026-08-25,375.0,PE,BEL26AUG375PE,0.85,1.05,0.8,0.8,0.8,0.85,405.84,0.8,1141425,27075,344,184249650.0,127,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75702,,BEL,,2026-08-25,2026-08-25,320.0,PE,BEL26AUG320PE,0.0,0.0,0.0,0.5,0.5,0.5,405.84,0.0,2850,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57684,,BEL,,2026-10-27,2026-10-27,410.0,CE,BEL26OCT410CE,0.0,0.0,0.0,20.45,0.0,20.45,405.84,25.83,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57678,,BEL,,2026-10-27,2026-10-27,400.0,CE,BEL26OCT400CE,21.8,22.0,21.35,21.5,21.5,21.9,405.84,30.86,21375,-2850,7,4205602.5,7,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90529,,BEL,,2026-09-29,2026-09-29,410.0,CE,BEL26SEP410CE,12.0,12.15,11.2,11.75,11.75,12.15,405.84,11.75,219450,9975,42,25234470.0,37,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90516,,BEL,,2026-09-29,2026-09-29,360.0,CE,BEL26SEP360CE,46.5,46.5,46.5,46.5,46.5,43.6,405.84,52.66,11400,1425,1,579262.5,1,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75916,,BEL,,2026-08-25,2026-08-25,480.0,CE,BEL26AUG480CE,0.25,0.25,0.2,0.2,0.2,0.25,405.84,0.06,423225,-1425,74,50637303.75,26,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75727,,BEL,,2026-08-25,2026-08-25,450.0,CE,BEL26AUG450CE,0.55,0.55,0.45,0.5,0.5,0.5,405.84,0.5,2405400,-99750,922,591910301.25,227,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75725,,BEL,,2026-08-25,2026-08-25,440.0,CE,BEL26AUG440CE,0.95,0.95,0.7,0.85,0.85,0.85,405.84,0.85,2120400,-18525,530,332916266.25,233,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90203,,BEL,,2026-08-25,2026-08-25,395.0,CE,BEL26AUG395CE,14.2,14.95,11.4,12.75,12.6,13.25,405.84,12.75,3310275,-41325,346,200940675.0,326,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75703,,BEL,,2026-08-25,2026-08-25,330.0,CE,BEL26AUG330CE,0.0,0.0,0.0,60.1,60.1,60.1,405.84,76.61,2850,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57620,,BEL,,2026-09-29,2026-09-29,435.0,PE,BEL26SEP435PE,33.25,33.25,33.25,33.25,33.25,49.8,405.84,35.76,1425,1425,1,667256.25,1,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90530,,BEL,,2026-09-29,2026-09-29,410.0,PE,BEL26SEP410PE,15.05,16.3,14.95,15.05,15.0,14.5,405.84,15.05,146775,8550,24,14557443.75,24,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75708,,BEL,,2026-08-25,2026-08-25,350.0,PE,BEL26AUG350PE,0.25,0.25,0.15,0.2,0.2,0.25,405.84,0.2,1215525,-14250,74,36928661.25,39,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90519,,BEL,,2026-09-29,2026-09-29,370.0,PE,BEL26SEP370PE,2.35,2.5,2.1,2.15,2.15,2.25,405.84,2.15,276450,19950,23,12201206.25,19,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90539,,BEL,,2026-09-29,2026-09-29,430.0,PE,BEL26SEP430PE,29.0,29.0,28.1,28.85,28.85,28.0,405.84,32.33,19950,2850,4,2614447.5,4,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57666,,BEL,,2026-10-27,2026-10-27,360.0,CE,BEL26OCT360CE,0.0,0.0,0.0,46.35,0.0,46.35,405.84,57.16,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90194,,BEL,,2026-08-25,2026-08-25,345.0,PE,BEL26AUG345PE,0.0,0.0,0.0,2.05,0.0,2.05,405.84,0.05,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90202,,BEL,,2026-08-25,2026-08-25,385.0,PE,BEL26AUG385PE,1.95,2.3,1.5,1.8,1.8,1.9,405.84,1.8,1898100,24225,946,521661292.5,390,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75716,,BEL,,2026-08-25,2026-08-25,390.0,PE,BEL26AUG390PE,2.5,3.4,2.4,2.7,2.8,2.8,405.84,2.7,4840725,-151050,1410,789592642.5,714,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75720,,BEL,,2026-08-25,2026-08-25,410.0,PE,BEL26AUG410PE,10.5,13.1,9.8,11.5,11.6,11.35,405.84,11.5,3427125,-8550,491,295106812.5,460,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90262,,BEL,,2026-08-25,2026-08-25,425.0,PE,BEL26AUG425PE,0.0,0.0,0.0,22.65,22.85,22.65,405.84,22.38,183825,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,75728,,BEL,,2026-08-25,2026-08-25,450.0,PE,BEL26AUG450PE,47.5,48.0,46.5,46.5,46.5,46.25,405.84,43.9,705375,-9975,13,9208920.0,8,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57600,,BEL,,2026-09-29,2026-09-29,345.0,PE,BEL26SEP345PE,0.0,0.0,0.0,5.15,0.0,5.15,405.84,1.77,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,68447,,BEL,,2026-09-29,2026-09-29,,,BEL26SEPFUT,408.0,408.95,404.05,406.25,406.2,406.5,405.84,406.25,19578075,323475,549,317310093.75,494,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90514,,BEL,,2026-09-29,2026-09-29,350.0,CE,BEL26SEP350CE,0.0,0.0,0.0,41.5,41.5,41.5,405.84,61.19,1425,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57615,,BEL,,2026-09-29,2026-09-29,425.0,CE,BEL26SEP425CE,0.0,0.0,0.0,6.8,6.8,6.8,405.84,13.63,15675,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57689,,BEL,,2026-10-27,2026-10-27,430.0,PE,BEL26OCT430PE,0.0,0.0,0.0,48.5,0.0,48.5,405.84,35.83,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57665,,BEL,,2026-10-27,2026-10-27,350.0,PE,BEL26OCT350PE,0.0,0.0,0.0,9.05,0.0,9.05,405.84,4.47,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57610,,BEL,,2026-09-29,2026-09-29,395.0,PE,BEL26SEP395PE,8.6,8.6,7.2,8.4,8.4,8.0,405.84,13.36,86925,4275,6,3447217.5,6,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57667,,BEL,,2026-10-27,2026-10-27,360.0,PE,BEL26OCT360PE,0.0,0.0,0.0,11.95,0.0,11.95,405.84,6.36,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57683,,BEL,,2026-10-27,2026-10-27,400.0,PE,BEL26OCT400PE,14.4,14.4,12.75,12.75,12.75,29.45,405.84,12.75,7125,7125,6,3537277.5,6,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,57691,,BEL,,2026-10-27,2026-10-27,440.0,PE,BEL26OCT440PE,0.0,0.0,0.0,55.85,0.0,55.85,405.84,42.42,0,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,58130,,BEL,,2026-08-25,2026-08-25,,,BEL26AUGFUT,405.7,407.0,401.3,403.95,403.5,404.1,405.84,403.95,99363825,-1922325,3871,2224811816.25,3319,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90195,,BEL,,2026-08-25,2026-08-25,355.0,CE,BEL26AUG355CE,0.0,0.0,0.0,36.25,36.25,36.25,405.84,51.85,500175,0,0,0.0,0,F1,1425,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,90197,,BEL,,2026-08-25,2026-08-25,365.0,CE,BEL26AUG365CE,0.0,0.0,0.0,40.0,40.0,40.0,405.84,42.23,81225,0,0,0.0,0,F1,1425,,,,,
