TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,144979,,SHRIRAMFIN,,2026-08-25,2026-08-25,1040.0,CE,SHRIRAMFIN26AUG1040CE,87.9,95.5,84.9,84.9,84.9,99.45,1129.9,84.9,1503150,-18150,42,39189851.25,32,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,48998,,SHRIRAMFIN,,2026-10-27,2026-10-27,,,SHRIRAMFIN26OCTFUT,1143.6,1146.0,1134.0,1135.2,1134.0,1149.6,1129.9,1135.2,193050,9900,26,24449122.5,25,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STF,68784,,SHRIRAMFIN,,2026-09-29,2026-09-29,,,SHRIRAMFIN26SEPFUT,1135.0,1141.2,1127.0,1129.2,1127.0,1143.8,1129.9,1129.2,5388900,33000,138,129055162.5,134,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109180,,SHRIRAMFIN,,2026-10-27,2026-10-27,1000.0,PE,SHRIRAMFIN26OCT1000PE,0.0,0.0,0.0,62.9,0.0,62.9,1129.9,31.39,0,0,0,0.0,0,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109172,,SHRIRAMFIN,,2026-10-27,2026-10-27,880.0,PE,SHRIRAMFIN26OCT880PE,0.0,0.0,0.0,23.25,0.0,23.25,1129.9,8.76,0,0,0,0.0,0,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109059,,SHRIRAMFIN,,2026-09-29,2026-09-29,940.0,PE,SHRIRAMFIN26SEP940PE,0.0,0.0,0.0,3.5,3.5,3.5,1129.9,9.13,4125,0,0,0.0,0,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144976,,SHRIRAMFIN,,2026-08-25,2026-08-25,1000.0,PE,SHRIRAMFIN26AUG1000PE,1.85,2.05,1.65,1.75,1.8,1.65,1129.9,1.75,1430550,-33000,250,206633460.0,200,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144962,,SHRIRAMFIN,,2026-08-25,2026-08-25,860.0,PE,SHRIRAMFIN26AUG860PE,0.5,0.5,0.2,0.2,0.2,0.35,1129.9,0.2,47025,0,17,12065913.75,12,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109199,,SHRIRAMFIN,,2026-10-27,2026-10-27,1120.0,CE,SHRIRAMFIN26OCT1120CE,0.0,0.0,0.0,65.3,0.0,65.3,1129.9,102.5,0,0,0,0.0,0,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144994,,SHRIRAMFIN,,2026-08-25,2026-08-25,1180.0,PE,SHRIRAMFIN26AUG1180PE,0.0,0.0,0.0,234.0,0.0,234.0,1129.9,67.48,0,0,0,0.0,0,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144980,,SHRIRAMFIN,,2026-08-25,2026-08-25,1040.0,PE,SHRIRAMFIN26AUG1040PE,4.0,4.05,3.05,3.5,3.65,3.25,1129.9,3.5,781275,10725,461,396863280.0,361,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144981,,SHRIRAMFIN,,2026-08-25,2026-08-25,1060.0,CE,SHRIRAMFIN26AUG1060CE,72.0,77.0,68.5,71.0,71.0,80.7,1129.9,84.15,977625,-41250,82,76764682.5,48,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,148144,,SHRIRAMFIN,,2026-09-29,2026-09-29,1000.0,CE,SHRIRAMFIN26SEP1000CE,0.0,0.0,0.0,152.0,152.0,152.0,1129.9,158.4,2475,0,0,0.0,0,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109066,,SHRIRAMFIN,,2026-09-29,2026-09-29,1100.0,CE,SHRIRAMFIN26SEP1100CE,69.0,69.0,62.0,62.5,62.0,62.2,1129.9,62.5,33000,7425,18,17320627.5,12,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,148156,,SHRIRAMFIN,,2026-09-29,2026-09-29,1240.0,CE,SHRIRAMFIN26SEP1240CE,14.4,14.8,14.3,14.3,14.3,15.0,1129.9,35.76,66825,0,5,5174977.5,5,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,109171,,SHRIRAMFIN,,2026-10-27,2026-10-27,880.0,CE,SHRIRAMFIN26OCT880CE,0.0,0.0,0.0,197.35,0.0,197.35,1129.9,270.78,0,0,0,0.0,0,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144970,,SHRIRAMFIN,,2026-08-25,2026-08-25,940.0,PE,SHRIRAMFIN26AUG940PE,0.9,0.95,0.65,0.75,0.75,0.9,1129.9,0.46,184800,-10725,32,24837945.0,26,F1,825,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,144977,,SHRIRAMFIN,,2026-08-25,2026-08-25,1020.0,CE,SHRIRAMFIN26AUG1020CE,105.0,110.15,101.3,103.2,101.3,112.0,1129.9,103.2,771375,-11550,16,14882917.5,15,F1,825,,,,,
