TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,153949,,TCS,,2026-09-29,2026-09-29,1960.0,PE,TCS26SEP1960PE,0.0,0.0,0.0,9.7,9.7,9.7,2444.87,3.12,8775,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153943,,TCS,,2026-09-29,2026-09-29,1840.0,PE,TCS26SEP1840PE,0.0,0.0,0.0,5.0,5.0,5.0,2444.87,0.71,450,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113124,,TCS,,2026-09-29,2026-09-29,2540.0,PE,TCS26SEP2540PE,132.15,132.15,129.0,130.6,129.0,127.35,2444.87,130.6,1350,900,7,4207207.5,7,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153982,,TCS,,2026-09-29,2026-09-29,2640.0,CE,TCS26SEP2640CE,25.0,25.0,23.75,23.8,23.8,23.45,2444.87,23.8,14850,1125,11,6594468.75,11,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113121,,TCS,,2026-09-29,2026-09-29,2500.0,CE,TCS26SEP2500CE,65.0,74.0,63.5,65.95,65.35,63.55,2444.87,65.95,105525,23175,217,125334270.0,196,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153970,,TCS,,2026-09-29,2026-09-29,2400.0,CE,TCS26SEP2400CE,126.0,126.0,114.0,118.5,118.5,114.7,2444.87,153.54,78300,-900,44,24928593.75,34,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149481,,TCS,,2026-08-25,2026-08-25,2640.0,PE,TCS26AUG2640PE,0.0,0.0,0.0,209.2,209.2,209.2,2444.87,199.57,2475,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153959,,TCS,,2026-09-29,2026-09-29,2160.0,PE,TCS26SEP2160PE,12.0,12.05,11.75,11.85,12.05,13.0,2444.87,11.85,4725,225,14,6841316.25,14,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113097,,TCS,,2026-09-29,2026-09-29,2220.0,PE,TCS26SEP2220PE,0.0,0.0,0.0,38.0,38.0,38.0,2444.87,30.63,225,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153985,,TCS,,2026-09-29,2026-09-29,2720.0,PE,TCS26SEP2720PE,265.0,266.35,265.0,266.35,266.35,265.0,2444.87,289.05,2700,450,2,1343553.75,2,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113246,,TCS,,2026-10-27,2026-10-27,2520.0,PE,TCS26OCT2520PE,0.0,0.0,0.0,204.75,0.0,204.75,2444.87,171.75,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113250,,TCS,,2026-10-27,2026-10-27,2600.0,PE,TCS26OCT2600PE,0.0,0.0,0.0,256.05,0.0,256.05,2444.87,220.07,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153950,,TCS,,2026-09-29,2026-09-29,2000.0,CE,TCS26SEP2000CE,458.0,470.0,452.0,460.0,459.95,449.1,2444.87,460.0,25425,-7200,85,47063520.0,50,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,39260,,TCS,,2026-08-25,2026-08-25,2740.0,CE,TCS26AUG2740CE,1.85,1.9,1.35,1.6,1.6,1.6,2444.87,1.6,120150,4950,171,105479966.25,104,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153898,,TCS,,2026-08-25,2026-08-25,2460.0,CE,TCS26AUG2460CE,39.4,48.75,36.65,38.25,38.3,38.4,2444.87,38.25,1797750,159075,6905,3885325458.75,5222,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153890,,TCS,,2026-08-25,2026-08-25,2300.0,CE,TCS26AUG2300CE,164.0,164.0,148.0,152.0,152.0,145.7,2444.87,152.0,320400,-4950,215,118691606.25,132,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153884,,TCS,,2026-08-25,2026-08-25,2180.0,CE,TCS26AUG2180CE,0.0,0.0,0.0,212.05,211.5,212.05,2444.87,272.15,29025,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153878,,TCS,,2026-08-25,2026-08-25,2060.0,CE,TCS26AUG2060CE,0.0,0.0,0.0,343.7,343.7,343.7,2444.87,389.83,18225,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149213,,TCS,,2026-08-25,2026-08-25,1960.0,PE,TCS26AUG1960PE,2.0,2.0,1.0,1.2,1.15,1.05,2444.87,1.2,40275,1575,48,21180285.0,28,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113225,,TCS,,2026-10-27,2026-10-27,2160.0,CE,TCS26OCT2160CE,0.0,0.0,0.0,320.6,0.0,320.6,2444.87,349.89,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113235,,TCS,,2026-10-27,2026-10-27,2320.0,CE,TCS26OCT2320CE,0.0,0.0,0.0,215.75,0.0,215.75,2444.87,236.33,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113243,,TCS,,2026-10-27,2026-10-27,2480.0,CE,TCS26OCT2480CE,0.0,0.0,0.0,136.5,0.0,136.5,2444.87,148.97,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113249,,TCS,,2026-10-27,2026-10-27,2600.0,CE,TCS26OCT2600CE,0.0,0.0,0.0,93.1,0.0,93.1,2444.87,100.73,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153867,,TCS,,2026-08-25,2026-08-25,1820.0,PE,TCS26AUG1820PE,0.35,0.45,0.35,0.45,0.45,0.5,2444.87,0.0,5400,-225,2,819180.0,2,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149435,,TCS,,2026-08-25,2026-08-25,2200.0,PE,TCS26AUG2200PE,4.2,4.4,3.5,3.85,3.8,4.85,2444.87,3.85,596475,-10125,769,381318547.5,526,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149473,,TCS,,2026-08-25,2026-08-25,2480.0,PE,TCS26AUG2480PE,73.1,74.0,61.0,67.7,67.95,76.35,2444.87,67.7,136350,-17550,497,285014362.5,474,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149489,,TCS,,2026-08-25,2026-08-25,2800.0,PE,TCS26AUG2800PE,345.0,364.35,345.0,355.0,355.0,363.0,2444.87,349.94,1017450,-7650,153,108674910.0,133,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113259,,TCS,,2026-10-27,2026-10-27,2640.0,PE,TCS26OCT2640PE,0.0,0.0,0.0,283.7,0.0,283.7,2444.87,246.46,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149196,,TCS,,2026-08-25,2026-08-25,1680.0,CE,TCS26AUG1680CE,0.0,0.0,0.0,518.0,518.0,518.0,2444.87,768.77,11700,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153900,,TCS,,2026-08-25,2026-08-25,2500.0,CE,TCS26AUG2500CE,26.0,31.7,22.7,23.9,24.0,24.45,2444.87,23.9,1965825,19125,8598,4885276342.5,5927,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153941,,TCS,,2026-09-29,2026-09-29,1800.0,PE,TCS26SEP1800PE,0.0,0.0,0.0,4.5,4.5,4.5,2444.87,0.41,12825,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113115,,TCS,,2026-09-29,2026-09-29,2420.0,PE,TCS26SEP2420PE,0.0,0.0,0.0,79.7,79.7,79.7,2444.87,96.49,450,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149295,,TCS,,2026-08-25,2026-08-25,2040.0,CE,TCS26AUG2040CE,0.0,0.0,0.0,366.0,366.0,366.0,2444.87,409.72,15525,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153892,,TCS,,2026-08-25,2026-08-25,2340.0,CE,TCS26AUG2340CE,125.5,126.3,116.15,118.25,118.25,116.1,2444.87,118.25,112275,-1800,21,11626863.75,18,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149466,,TCS,,2026-08-25,2026-08-25,2360.0,CE,TCS26AUG2360CE,109.8,110.0,98.1,102.1,102.05,99.1,2444.87,102.1,172125,-5850,123,68184146.25,65,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149474,,TCS,,2026-08-25,2026-08-25,2520.0,CE,TCS26AUG2520CE,20.35,25.0,17.45,18.65,18.45,19.15,2444.87,18.65,344925,8550,1111,634888777.5,980,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113098,,TCS,,2026-09-29,2026-09-29,2260.0,CE,TCS26SEP2260CE,0.0,0.0,0.0,222.7,0.0,222.7,2444.87,244.71,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113114,,TCS,,2026-09-29,2026-09-29,2420.0,CE,TCS26SEP2420CE,0.0,0.0,0.0,124.0,124.0,124.0,2444.87,142.61,225,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153986,,TCS,,2026-09-29,2026-09-29,2800.0,CE,TCS26SEP2800CE,8.2,9.2,7.3,7.85,8.0,8.2,2444.87,7.85,93150,13050,386,243891382.5,252,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,113221,,TCS,,2026-10-27,2026-10-27,2080.0,CE,TCS26OCT2080CE,0.0,0.0,0.0,381.75,0.0,381.75,2444.87,415.11,0,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149197,,TCS,,2026-08-25,2026-08-25,1680.0,PE,TCS26AUG1680PE,0.25,0.25,0.25,0.25,0.25,0.45,2444.87,0.0,12825,0,1,378056.25,1,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153869,,TCS,,2026-08-25,2026-08-25,1860.0,PE,TCS26AUG1860PE,0.0,0.0,0.0,0.6,0.6,0.6,2444.87,0.0,8550,0,0,0.0,0,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153877,,TCS,,2026-08-25,2026-08-25,2020.0,PE,TCS26AUG2020PE,1.4,1.4,1.15,1.3,1.3,1.3,2444.87,1.3,32850,-450,13,5912325.0,12,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,149296,,TCS,,2026-08-25,2026-08-25,2040.0,PE,TCS26AUG2040PE,1.8,1.8,1.5,1.5,1.5,1.8,2444.87,0.11,106200,-1125,31,14239845.0,19,F1,225,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,153879,,TCS,,2026-08-25,2026-08-25,2060.0,PE,TCS26AUG2060PE,1.65,1.65,1.55,1.55,1.55,1.95,2444.87,0.18,36675,-675,6,2783115.0,4,F1,225,,,,,
