TRADDT,BIZDT,SGMT,SRC,FININSTRMTP,FININSTRMID,ISIN,TCKRSYMB,SCTYSRS,XPRYDT,FININSTRMACTLXPRYDT,STRKPRIC,OPTNTP,FININSTRMNM,OPNPRIC,HGHPRIC,LWPRIC,CLSPRIC,LASTPRIC,PRVSCLSGPRIC,UNDRLYGPRIC,STTLMPRIC,OPNINTRST,CHNGINOPNINTRST,TTLTRADGVOL,TTLTRFVAL,TTLNBOFTXSEXCTD,SSNID,NEWBRDLOTQTY,RMKS,RSVD1,RSVD2,RSVD3,RSVD4
2026-08-11,2026-08-11,FO,NSE,STO,98672,,HCLTECH,,2026-08-25,2026-08-25,1020.0,PE,HCLTECH26AUG1020PE,0.0,0.0,0.0,0.65,0.65,0.65,1365.38,0.0,2400,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,98713,,HCLTECH,,2026-08-25,2026-08-25,1180.0,PE,HCLTECH26AUG1180PE,1.45,1.55,1.3,1.3,1.3,1.6,1365.38,1.3,56400,-2000,69,32604740.0,24,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108524,,HCLTECH,,2026-09-29,2026-09-29,1260.0,PE,HCLTECH26SEP1260PE,0.0,0.0,0.0,189.55,0.0,189.55,1365.38,24.03,0,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,77886,,HCLTECH,,2026-09-29,2026-09-29,1430.0,CE,HCLTECH26SEP1430CE,31.0,31.0,31.0,31.0,31.0,40.85,1365.38,47.91,400,400,1,584400.0,1,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78017,,HCLTECH,,2026-10-27,2026-10-27,1260.0,CE,HCLTECH26OCT1260CE,0.0,0.0,0.0,134.05,0.0,134.05,1365.38,158.66,0,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78042,,HCLTECH,,2026-10-27,2026-10-27,1420.0,CE,HCLTECH26OCT1420CE,0.0,0.0,0.0,60.8,0.0,60.8,1365.38,71.9,0,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108309,,HCLTECH,,2026-08-25,2026-08-25,1250.0,PE,HCLTECH26AUG1250PE,4.45,4.45,2.7,3.25,3.3,3.9,1365.38,3.25,213600,-4000,113,56642000.0,100,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108369,,HCLTECH,,2026-08-25,2026-08-25,1290.0,PE,HCLTECH26AUG1290PE,5.65,7.5,5.55,7.1,6.9,8.45,1365.38,7.1,64800,-10400,115,59633220.0,100,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,77882,,HCLTECH,,2026-09-29,2026-09-29,1410.0,PE,HCLTECH26SEP1410PE,0.0,0.0,0.0,100.85,100.85,100.85,1365.38,87.71,5200,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108557,,HCLTECH,,2026-09-29,2026-09-29,1480.0,PE,HCLTECH26SEP1480PE,0.0,0.0,0.0,122.0,122.0,122.0,1365.38,134.07,800,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,98847,,HCLTECH,,2026-08-25,2026-08-25,1320.0,CE,HCLTECH26AUG1320CE,69.5,69.5,59.0,59.0,59.0,56.0,1365.38,65.78,167200,0,8,4427400.0,8,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,98707,,HCLTECH,,2026-08-25,2026-08-25,1120.0,PE,HCLTECH26AUG1120PE,0.0,0.0,0.0,0.9,0.9,0.9,1365.38,0.04,18800,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,98767,,HCLTECH,,2026-08-25,2026-08-25,1200.0,PE,HCLTECH26AUG1200PE,1.8,1.8,1.3,1.5,1.45,1.75,1365.38,1.5,362400,-17600,124,59596880.0,83,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,98779,,HCLTECH,,2026-08-25,2026-08-25,1240.0,PE,HCLTECH26AUG1240PE,2.5,3.1,2.3,2.85,2.85,3.5,1365.38,2.85,73200,1200,29,14415880.0,27,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,78026,,HCLTECH,,2026-10-27,2026-10-27,1340.0,PE,HCLTECH26OCT1340PE,0.0,0.0,0.0,93.45,0.0,93.45,1365.38,65.68,0,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108249,,HCLTECH,,2026-08-25,2026-08-25,1210.0,CE,HCLTECH26AUG1210CE,0.0,0.0,0.0,139.25,139.25,139.25,1365.38,159.44,84800,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,98700,,HCLTECH,,2026-08-25,2026-08-25,1120.0,CE,HCLTECH26AUG1120CE,0.0,0.0,0.0,221.55,221.55,221.55,1365.38,248.02,21200,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108237,,HCLTECH,,2026-08-25,2026-08-25,1110.0,CE,HCLTECH26AUG1110CE,0.0,0.0,0.0,231.35,231.35,231.35,1365.38,257.98,400,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,98698,,HCLTECH,,2026-08-25,2026-08-25,1100.0,CE,HCLTECH26AUG1100CE,271.05,281.5,268.5,271.0,271.0,264.0,1365.38,271.0,44400,-4800,20,10999440.0,19,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108233,,HCLTECH,,2026-08-25,2026-08-25,1070.0,CE,HCLTECH26AUG1070CE,0.0,0.0,0.0,100.4,100.4,100.4,1365.38,297.87,1200,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108227,,HCLTECH,,2026-08-25,2026-08-25,1010.0,CE,HCLTECH26AUG1010CE,0.0,0.0,0.0,150.65,150.65,150.65,1365.38,357.72,7200,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,98667,,HCLTECH,,2026-08-25,2026-08-25,980.0,CE,HCLTECH26AUG980CE,0.0,0.0,0.0,385.0,385.0,385.0,1365.38,387.66,5600,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,108223,,HCLTECH,,2026-08-25,2026-08-25,970.0,CE,HCLTECH26AUG970CE,0.0,0.0,0.0,187.15,187.15,187.15,1365.38,397.63,800,0,0,0.0,0,F1,400,,,,,
2026-08-11,2026-08-11,FO,NSE,STO,98853,,HCLTECH,,2026-08-25,2026-08-25,1380.0,CE,HCLTECH26AUG1380CE,23.15,31.8,22.85,24.5,24.8,21.15,1365.38,24.5,1120000,771200,11705,6590850720.0,8564,F1,400,,,,,
